Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.),consistency_score,fund_score
Tata Digital India Fund-Reg(G), Equity - Sectoral Fund - Technology, Open ended, NIFTY IT - TRI,0.005051028721245428,0.3209452201933405,0.6708991077556623,0.9631467044649185,0.001600640256102441,0.7041198501872659,0.0,1,0.7666520676227713
Tata Digital India Fund-Reg(IDCW), Equity - Sectoral Fund - Technology, Open ended, NIFTY IT - TRI,0.005051028721245428,0.3209452201933405,0.6708991077556623,0.9631467044649185,0.001600640256102441,0.7041198501872659,0.0,1,0.7666520676227713
ICICI Pru S&P BSE Sensex Index Fund(IDCW), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI,0.002447749255676853,0.6595059076262084,0.45573095401509955,0.6311126860382708,0.0,0.07865168539325844,0.0,1,0.7550721060049849
ICICI Pru S&P BSE Sensex Index Fund(G), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI,0.002447749255676853,0.6595059076262084,0.45573095401509955,0.6311126860382708,0.0,0.07865168539325844,0.0,1,0.7550721060049849
SBI Technology Opp Fund-Reg(IDCW), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0.01557338804046748,0.5291084854994629,0.6693548387096775,0.9482636428065201,0.001600640256102441,0.7153558052434457,0.0,1,0.7543514441108783
SBI Technology Opp Fund-Reg(G), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0.0266382515441928,0.5291084854994629,0.668668496911462,0.9472005669737775,0.001600640256102441,0.7153558052434457,0.0,1,0.7537135986112328
ICICI Pru Technology Fund(G), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0.025223667254225243,0.3224489795918367,0.7376458476321208,0.9656272147413183,0.001600640256102441,0.7640449438202248,0.0,1,0.7501628456987235
ICICI Pru Technology Fund(IDCW), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0.009678052465524138,0.3226638023630505,0.7378174330816747,0.9560595322466336,0.001600640256102441,0.7640449438202248,0.0,1,0.7444222362019127
HDFC Index Fund-S&P BSE Sensex(G), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI,0.10167232006635957,0.6586466165413534,0.4507549759780371,0.6311126860382708,0.0,0.12734082397003746,0.003384782020037891,1,0.7404653644319511
UTI Nifty 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0.02127616240316393,0.6253490870032223,0.4547014413177763,0.6055988660524451,0.001600640256102441,0.08988764044943821,0.0,1,0.7363930274966355
UTI Nifty 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0.010135385344610509,0.6253490870032223,0.4547014413177763,0.6055988660524451,0.001600640256102441,0.08988764044943821,0.0,1,0.7363930274966355
SBI LT Advantage Fund-IV-Reg(G), Equity - ELSS, Close ended, S&P BSE 500,0.004480751284975782,0.5851772287862513,0.6333218943033632,0.803685329553508,0.0,0.49108674640570255,0.003384782020037891,1,0.734885173810394
SBI LT Advantage Fund-IV-Reg(IDCW), Equity - ELSS, Close ended, S&P BSE 500,0.0036160773799825217,0.5851772287862513,0.6333218943033632,0.803685329553508,0.0,0.49108674640570255,0.003384782020037891,1,0.734885173810394
Quantum Gold Saving Fund-Reg(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0.0029143398853520167,0.7944146079484425,0.36993822923816067,0.5825655563430191,0.0,0.056179775280898875,0.0,1,0.7326854012215417
Aditya Birla SL Digital India Fund(G), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0.021885322391906506,0.3593984962406015,0.6599176389842142,0.9273564847625797,0.0,0.7677902621722847,0.0,1,0.7260768122058623
ICICI Pru Nifty 50 Index Fund(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0.03175593606967754,0.6216970998925886,0.45041180507892936,0.5910701630049611,0.0,0.10861423220973784,0.0,1,0.7220578281400553
HDFC Index Fund-NIFTY 50 Plan(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0.029859948749092743,0.6223415682062299,0.4507549759780371,0.5988660524450744,0.0,0.12734082397003746,0.0,1,0.7211173842760333
Kotak Multi Asset Allocator FoF-Dynamic(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 500 - TRI,0.026084638058982982,0.7967776584317937,0.5259094028826357,0.6987951807228916,0.001600640256102441,0.3445692883895131,0.0,1,0.715906321916881
Kotak Multi Asset Allocator FoF-Dynamic(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 500 - TRI,0.02683081275643969,0.7967776584317937,0.5259094028826357,0.6987951807228916,0.001600640256102441,0.3445692883895131,0.0,1,0.715906321916881
Aditya Birla SL Digital India Fund(IDCW), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0.005880523174001275,0.35896885069817397,0.6599176389842142,0.9082211197732104,0.0,0.7677902621722847,0.0,1,0.7145955932122408
Tata S&P BSE Sensex Index Fund-Reg(G), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI,0.026882656159736933,0.6537056928034372,0.4399450926561428,0.6172927002126152,0.001600640256102441,0.1947565543071161,0.0,1,0.7119486538354342
SBI Gold-Reg(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-London Bullion Market association (LBMA),0.001984861726237206,0.802577873254565,0.37010981468771453,0.5843373493975903,0.001600640256102441,0.1348314606741573,0.0,1,0.710152971436307
SBI Gold-Reg(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-London Bullion Market association (LBMA),0.001984861726237206,0.802577873254565,0.3702814001372684,0.5843373493975903,0.001600640256102441,0.1348314606741573,0.0,1,0.710152971436307
Nippon India Gold Savings Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0.0029772925893558093,0.7862513426423201,0.3670212765957447,0.5740609496810772,0.0,0.11610486891385768,0.0,1,0.7096051091344889
Nippon India Gold Savings Fund(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0.0029772925893558093,0.7862513426423201,0.3670212765957447,0.5740609496810772,0.0,0.11610486891385768,0.0,1,0.7096051091344889
Quant Small Cap Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,0.019839359511783266,0.6773361976369495,1.0000000000000002,1.0,0.001600640256102441,0.9775280898876404,0.0,1,0.7067415730337079
